item_name,item_image_url
Aloo Parwal Sabzi Recipe - A Classic Bengali Dish,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/north-indian-vegetarian-recipes/sabzi-recipes/Aloo_Parwal_Sabzi_Recipe_3_cc338c9f53.jpg
Chapor Ghonto Recipe - Bengali Mix Vegetable With Lentils Patties,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/north-indian-vegetarian-recipes/sabzi-recipes/chapor_ghonto_408596545f.jpg
Delicious Skillet Roasted Fondant Potatoes Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/continental-party-appetizer-starter-recipes/Delicious_Skillet_Fondant_Potatoes_Recipe_1_d0ce0f7f4f.jpg
Moroccan Chickpeas Stew Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/continental-food-recipes/Moroccan_Chickpeas_Stew_Curry_Recipe_1_9ca003d9ed.jpg
Babru Recipe (Himachali Black Gram Stuffed Bread),https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-bread-recipes-roti-paratha-naan-puri/paratha-recipes/Babru_Recipe_Himachali_Black_Gram_Stuffed_Bread_407d9dc6f8.jpg
Urulai Kizhangu Masiyal Recipe (Potatoes in a Tangy lemon and Ginger Gravy),https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Urulai_Kizhangu_Masiyal_Recipe_Potatoes_in_a_Tangy_lemon_and_Ginger_Gravy_1_2099660557.jpg
Niramish Shobji Chapor Jhol - Bengali Style Vegetable Curry with Lentil Patties,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/north-indian-vegetarian-recipes/sabzi-recipes/Sobji_Diye_Chapor_Jhol_Bengali_Moong_Patties_with_Vegetables_Niramish_Sobji_Jhol_Recipe_8_7dfac41206.jpg
Arabian Chicken Mandi Recipe -Yemeni Style Rice & Chicken,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-rice-recipes/variety-rice-mixed-rice-flavoured-rice-recipes/Arabian_Chicken_Mandhi_79ec26827d.jpg
Moong Dal Ghughra Recipe (Gujiya/ Karanji),https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/snack-recipes/indian-snack-recipes/Traditional_Moong_Dal_Gujiya_Vivatta_1_11fd328689.jpg
Hyderabadi Khadi Masoor Dal Recipe - Hyderabadi Style Lentil Curry,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Hyderabadi_Khadi_Masoor_Ki_Dal_Recipe_1_cb27ebe8ec.jpg
Vanilla Dutch Baby Pancake Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/healthy-breakfast-recipes/pancake-recipes/Vanilla_Dutch_Baby_Pancake_edited1_3a19b67232.jpg
Goan Moolyacho Ross Recipe (Goan Radish Curry),https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Goan_Moolyacho_Ross_Goan_Radish_Curry_09c9a7babe.jpg
Gujarati Dabeli Recipe - Pav Buns With Spicy Mashed Potatoes,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/snack-recipes/indian-snack-recipes/gujarati_dabeli_recipe_913b50ae51.jpg
Mixed Vegetable Handi Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/north-indian-vegetarian-recipes/sabzi-recipes/Veg_Handi_388e6c2785.jpg
Stuffed Mushrooms With Spinach & Parmesan Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/continental-party-appetizer-starter-recipes/Stuffed_Mushrooms_Spinach_Parmesan_Mozerella_Recipe_a65010046a.jpg
Chenai Kizhangu Masiyal-South Indian Style Yam Masiyal,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/south-indian-vegetarian-recipes/poriyal-recipes-south-indian-sabzi/Chenai_Kizhangu_Masiyal_Recipe_12_da0b7d562e.jpg
Aam Panna Pani Puri Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/snack-recipes/indian-snack-recipes/Aam_Panna_Pani_Puri_Recipe_b0fe0ff520.jpg
Punjabi Bhindi Kadhi Recipe - Roasted Okra In Yogurt Curry,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/north-indian-vegetarian-recipes/kadhi-recipes/Bhindi_Kadhi_Recipe_Punjabi_Cuisine_2_bd87d50332.jpg
Tamil Nadu Style Potato Masiyal Recipe (South Indian Style Aloo Masala),https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Tamilnadu_Style_Poori_Masal_South_Indian_Aloo_Masala_for_Poori_55847caae6.jpg
Goan Bimbla Uddamethi Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/GOAN_BIMBLA_UDDAMETHIBILIMBI_CURRY_f0454dcf6b.jpg
Papaya Parsley Salad with Cheese Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/salad-recipes/Papaya_and_Parsely_Salad_with_Cheese_2_44cf0965b1.jpg
Mangalorean Manoli Bheeja Upkari Recipe - Ivy Gourd & Cashew Sabzi,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/south-indian-vegetarian-recipes/poriyal-recipes-south-indian-sabzi/Mangalorean_Manoli_Bheeja_Upkari_Sukka_Ivy_Gourd_Cashew_Dry_e72e26a95b.jpg
Chilli Chicken Cheese Quesadilla Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/mexican-recipes/Indo_Chinese_Chilli_Chicken_Quesadilla_Recipe_2_12c0ffeadc.jpg
Malwani Pumpkin And Raw Mango Curry Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Malwani_Pumpkin_Raw_Mango_Curry_a2ddc63981.jpg
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-bread-recipes-roti-paratha-naan-puri/roti-recipes/Cucumber_Thalipeeth_9bc5a956a2.jpg
Eggless Chocolate Mug Cake Recipe - Instant Microwave Cake,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/cake-recipes/5_Minute_Chocolate_Mug_Cake_Recipe_1_2110c7e4c6.jpg
Vegan Kofta Curry Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/north-indian-vegetarian-recipes/kofta-recipes/Vegan_Kofta_Curruy_Recipe_1_dc1e77fedf.jpg
Muttai Podimas Recipe - Chettinad Egg Scramble ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/healthy-breakfast-recipes/scrambled-egg-recipe/Chettinad_Muttai_Podimas_Recipe_1_7672effd01.jpg
Chilli Oil Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/thai-recipes-malaysian-east-asian-recipes/Chilli_Oil_Recipe_1_b5df945421.jpg
Bathua Raita Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/side-dishes/indian-raita-recipes/Bathua_Raita_Recipe_1_ec6d6850dc.jpg
Szechwan Hakka Noodle Momo Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/thai-recipes-malaysian-east-asian-recipes/Schezwan_Hakka_Noodle_Momo_Recipe_76a7eaeb95.jpg
Khakhra Vegetable Pizza Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/pizza-recipes/10_Minute_Khakra_Pizza_Recipe_1_1e17b93f2e.jpg
Chicken Manchurian Dry Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/indian-chinese-recipes/Indo_chinese_Chicken_Manchurian_recipe_1_a77b1fe48a.jpg
Thai Pineapple Vegetarian Curry Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/thai-recipes-malaysian-east-asian-recipes/Thai_Pineapple_Curry_Recipe_2_f84f026968.jpg
 Beet Apple Salad Recipe with Apple Cider Vinaigrette,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/salad-recipes/Beet_Apple_Salad_Recipe_With_Sweet_Corn_and_lettuce_1_0b1580cb50.jpg
Kerala Style Varutharacha Mutta Curry Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-non-veg-recipes/Varutharacha_Mutta_Curry_Recipe_Kerala_Style_Egg_Curry_in_Gravy_1_373acf408e.jpg
Chicken Spinach Cheese Balls Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/continental-party-appetizer-starter-recipes/Chicken_Spinach_Bombs_Stuffed_with_Cheese_2_9a06be8159.jpg
Mexican Corn Salsa Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/salad-recipes/Mexican_Corn_Salsa_Recipe_1_6c7dd3efa9.jpg
Broccoli and Mushroom Stir Fry Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/continental-food-recipes/Broccoli_Mushroom_Stir_Fry_Recipe_2_4586c67345.jpg
Sorakkai Paruppu Kuzhambu Recipe - Tamil Nadu Style Lauki Curry,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/south-indian-vegetarian-recipes/kuzhambu-recipes/Sorakkai_Paruppu_Kuzhambu_Recipe_Bottle_Gorud_Dal_South_Indian_Style_1_5487e76b3f.jpg
Badam Elaichi Kulfi Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/sweet-recipes/Badam_Elaichi_Kulfi_Recipe_With_Condensed_Milk_1_0c59384530.jpg
Harissa Roasted Carrot Pizza With Pomegranate Sauce & Greek Yogurt Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/pizza-recipes/Roasted_Carrots_Pizza_with_Pomegranate_Sauce_and_Greek_Yogurt_1_008c991c19.jpg
Soya Methi Sabzi Recipe | Made from Soya Chunks,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/north-indian-vegetarian-recipes/sabzi-recipes/Soya_Methi_Sabzi_Recipe_Made_from_Soya_Chunks_1_33ce94fbc8.jpg
Rajasthani Laal Maas Recipe-Mutton In Red Spicy Gravy,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-non-veg-recipes/mutton-recipes/Rajasthani_Lal_Maas_Recipe_1_2_N_e7b38f1c85.jpg
Moolangi Tovve Recipe - Radish Curry,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Moolangi_Tovve_Raddish_Curry_143754ccc5.jpg
Smoked Vegetarian Spanish Rice Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/continental-food-recipes/Smoked_Spanish_Rice_Recipe_1_bf5f03ad33.jpg
Thai Style Curried Corn Fritters Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/thai-recipes-malaysian-east-asian-recipes/Thai_Style_Curried_Corn_Fritters_Recipe_61c5832710.jpg
Kathal Biryani Recipe- Raw Jackfruit Biryani Topped with Caramelised Onions,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-rice-recipes/biryani-recipes/Jackfruit_Biryani_Raita_Recipe_Archanas_Kitchen_Video_a9a70b4100.jpg
Palak Tambuli Recipe (Udupi Style Spinach Tambli),https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Palak_Tambuli_Recipe_2_7db3847527.jpg
Mushroom Thoran Recipe-Kerala Style Mushroom Sabzi,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/south-indian-vegetarian-recipes/thoran-recipes/13_Mushroom_Thoran_Recipe_Kerala_Style_Mushroom_Sabzi_1_2_024cfcd6fa.jpg
Broccoli Egg Bhurji Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-non-veg-recipes/egg-recipes/Broccoli_And_Egg_Burji_c8b2edaca3.jpg
No Bake Eggless Mango Cheesecake Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/dessert-recipes/Eggless_No_Bake_Mango_Cheesecake_video_recipe_cheesy_kitchen_britannia_15_c0ce3c9b4e.jpg
